user_id,trade_id,timestamp,instrument,action,quantity,price,pnl
U1000,36417a5b,2025-07-17 11:35:42.481231,TCS.BO,Sell,100,3440.53,73.97
U1000,1318780e,2025-07-06 08:33:43.643208,INFY.BO,Sell,10,1615.0,-683.4
U1000,0801fdd3,2025-07-21 01:41:04.725450,SBIN.BO,Buy,100,823.3,-2318.11
U1000,c15576c7,2025-07-19 15:30:30.721123,ITC.BO,Buy,100,417.05,2554.02
U1000,246f6613,2025-07-05 18:55:16.899915,INFY.BO,Buy,25,1601.55,3083.71
U1000,a5a65ca4,2025-07-10 22:39:37.637981,ITC.BO,Buy,10,414.25,4529.82
U1000,91055d07,2025-06-30 05:34:38.224914,RELIANCE.BO,Sell,100,1433.65,-4472.5
U1000,d084fd3f,2025-07-09 17:09:48.295477,RELIANCE.BO,Buy,50,1518.25,-4897.98
U1000,663b4e06,2025-07-22 22:39:10.055270,SBIN.BO,Buy,100,824.2,-1594.33
U1000,5ce2b76f,2025-06-29 15:06:12.058167,ITC.BO,Buy,25,416.9,3393.81
U1000,d022c5c6,2025-07-05 13:48:12.517052,RELIANCE.BO,Sell,25,1428.2,2840.88
U1000,2673cdd4,2025-07-07 02:38:11.284542,RELIANCE.BO,Buy,100,1518.25,4417.33
U1000,e5ea57ac,2025-07-06 03:26:42.565084,TCS.BO,Buy,100,3400.41,-3451.35
U1000,95ba4291,2025-07-03 06:36:31.650223,RELIANCE.BO,Buy,25,1484.6,-2271.22
U1000,1765de50,2025-07-23 23:00:02.854250,SBIN.BO,Buy,50,800.1,-3298.68
U1000,b0ab6ee6,2025-07-10 18:48:28.159093,TCS.BO,Sell,100,3411.77,-22.95
U1001,9e919171,2025-07-19 01:21:58.473176,TCS.BO,Sell,25,3212.3,4811.58
U1001,f2cd6100,2025-07-14 07:03:04.120130,ITC.BO,Buy,50,418.1,2473.46
U1001,e85dc028,2025-07-22 06:01:53.086110,TCS.BO,Sell,25,3241.8,-3312.15
U1001,173cb8a6,2025-07-20 17:18:37.577655,RELIANCE.BO,Buy,25,1477.1,-2164.78
U1001,0ea108d0,2025-07-11 09:01:38.410944,RELIANCE.BO,Buy,50,1450.05,4275.56
U1001,cf656927,2025-07-12 22:08:57.060650,TCS.BO,Buy,10,3440.53,-2963.73
U1001,294c9134,2025-07-15 17:19:32.884386,RELIANCE.BO,Sell,25,1424.5,2230.9
U1001,78f063b6,2025-07-01 06:45:11.402720,INFY.BO,Sell,10,1609.9,-582.37
U1001,ea5563a2,2025-07-22 12:27:22.723617,ITC.BO,Buy,25,417.35,4071.95
U1001,72f8c5e1,2025-07-03 07:50:06.400925,INFY.BO,Sell,10,1621.85,-3866.82
U1001,ddc7b212,2025-07-21 05:33:24.511935,TCS.BO,Buy,10,3208.5,-2572.49
U1001,9105ddea,2025-06-25 11:24:05.504427,ITC.BO,Buy,25,418.45,1136.1
